fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
174,9,Z9-142,385,ESCUELA MONSEÑOR M. DE ANDREA,,PLOMERIA,2026-05-07,finalizado,desobstruir pileta de patio de cocina y pileta de patio de baños
175,9,Z9-143,405,J.DE INF. HEROES DE MALVINAS(EX-DE BºI.P.V.CNO.A VILLA POSSE,,ELECTRICIDAD,2026-05-07,pendiente,"Cambiar tubos de luz rotos o faltantes de circulación, salas y baño."
176,9,Z9-144,407,ESCUELA JUAN DOMINGO PERON,,ELECTRICIDAD,2026-05-07,pendiente,"Colocar dos reflectores con canasto de pretección en el ingreso, reparar luminaria que se encuentra en corto en ingreso y reponer tubo LED, reparar comedor el cual se encuentra sin suministro electrico, colocar luces bulb en SUM."
177,9,Z9-145,407,ESCUELA JUAN DOMINGO PERON,,PLOMERIA,2026-05-07,trabajando,"Reparar suministro de agua de inodoro de discapacitados el cual se encuentra suelto, reparar dos pulsadores de baños, sellar bachas de baño de nenas."
178,9,Z9-146,407,ESCUELA JUAN DOMINGO PERON,,HERRERIA,2026-05-07,pendiente,Reparar ventanas de SUM las cuales se encuentran trabadas
179,9,Z9-147,385,ESCUELA MONSEÑOR M. DE ANDREA,,ELECTRICIDAD,2026-05-07,pendiente,"Reparar enchufes que se encuentran en cortocircuito, retirar cables sin tensión en ingreso."
180,9,Z9-148,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,PLOMERIA,2026-03-03,finalizado,Reparación general de plomería
181,9,Z9-149,392,ESCUELA PRESIDENTE RIVADAVIA,,ALBAÑILERIA,2026-05-08,pendiente,"Realizar la demolición del cielorraso suelto existente en el pasillo de planta baja, retirando todo material con riesgo de desprendimiento. Posteriormente, se procederá a la preparación de la superficie mediante la aplicación de un puente de adherencia y, una vez acondicionado el soporte, se ejecutará nuevamente el revoque correspondiente, a fin de garantizar su correcta fijación y evitar eventuales caídas de material. Finalmente se pintara solo en los metros intervenidos."
182,9,Z9-150,378,I.P.E.T. Nº 64 MALVINAS ARGENTINAS,,ELECTRICIDAD,2026-05-08,pendiente,Realizar informe electrico del estado actual del establecimiento y presupuesto de las intervenciones a realizar para el correcto funcionamiento de la instalación.
183,9,Z9-151,377,J.DE INF. CORNELIO SAAVEDRA,,PLOMERIA,2026-05-11,pendiente,Colocar tapa faltante en tanque de agua.
184,9,Z9-152,395,ESCUELA DR. LUIS AUGUSTO CAEIRO,,ELECTRICIDAD,2026-05-11,pendiente,"Reparar temporizador de timbre, agregar un artefacto de iluminación en dirección y en sala de docentes, reparar enchufe en dirección y colocar dos reflectores en patio posterior con su respectivo canasto de protección."
185,9,Z9-153,395,ESCUELA DR. LUIS AUGUSTO CAEIRO,,HERRERIA,2026-05-11,pendiente,"Reparar reja de biblioteca ya que no cierra adecuadamente, reparar cerradura de aula 2do, 3ro, 4to grado y educación fisica. Colocar malla metálica en patio de luz sobre estructura metálica existente con el fin de evitar actos de vandalismo."
186,9,Z9-154,380,ESCUELA JOSE MARIA BEDOYA,,PLOMERIA,2026-05-13,pendiente,Se solicita acudir con urgencia al establecimiento por falta de suministro de agua.
187,9,Z9-155,406,ESCUELA HEROES DE MALVINAS(EX-S/N BºI.P.V.-CNO.A VILLA POSSE,,PLOMERIA,2026-05-13,pendiente,"Se solicita acudir al establecimiento con el fin de desobstruir la cañería cloacal del baño de docentes, incluyendo verificación de descarga de inodoro y rejilla de piso."
188,9,Z9-156,376,J.DE INF. PEDRO RUIZ DE GARIBAY,,OTROS,2026-05-13,pendiente,"Cambiar vidrio en la sala de 4 años el cual se encuentra rajado por vidrio laminado, cambiar espejos de baños en sala de 3 y 5 de iguales dimensiones a los existentes."
189,9,Z9-157,389,ESCUELA PROVINCIA LA RIOJA,,ALBAÑILERIA,2026-05-13,pendiente,Ejecutar muro de mampostería en medianera de escuela de 2m x 1.60m y volver a colocar mampostería suelta en lo largo de la misma pared.
190,9,Z9-158,389,ESCUELA PROVINCIA LA RIOJA,,HERRERIA,2026-05-13,pendiente,"Soldar y colocar malla metálica en portón de patio interno, colocar candado en portón de ingreso principal y ejecutar rejillas las cuales se encuentran rotas al lado de huerta de 0.60mx2m."
191,9,Z9-159,403,ESCUELA MADRE MARIA DEL TRANSITO,,PLOMERIA,2026-05-13,trabajando,"Reparar mochila de baño de docentes, colocar válvula de descarga en primer baño de nenas y colocar canilla de servicio en patio delantero."
192,9,Z9-160,375,ESCUELA VICTOR MERCANTE,,ALBAÑILERIA,2026-05-13,pendiente,Colocar divisiorio de durlock bajo escalera.
193,9,Z9-161,385,ESCUELA MONSEÑOR M. DE ANDREA,,PLOMERIA,2026-05-14,pendiente,"Se solicita demoler piso existente en el sector de intervención en sistema cloacal, excavar para la instalación de una nueva cámara grasera destinada a la recepción y tratamiento primario de los efluentes provenientes del sector cocina. Asimismo, se construirá una nueva cámara de inspección, la cual actualmente se encuentra rota y se colocará la cañería correspondiente para la vinculación del sistema a la red cloacal existente del establecimiento.
Las nuevas instalaciones sanitarias se ejecutarán conforme a las pendientes reglamentarias y la correcta estanqueidad de las conexiones, empleando materiales aptos para instalaciones cloacales, además se colocará un cercado rígido perimetral durante todo el desarrollo de las obras.
Adicionalmente, se realizará la anulación definitiva de la cámara séptica existente, procediendo previamente a su vaciado y limpieza en caso de corresponder. Posteriormente, dicha cámara será rellenada con material de descarte y escombros compactados, asegurando la eliminación de cavidades y evitando futuros asentamientos del terreno."
194,9,Z9-162,385,ESCUELA MONSEÑOR M. DE ANDREA,,ALBAÑILERIA,2026-05-14,pendiente,Colocar losetas cementicias en el área intervenida en desagues cloacales. Por otro lado demoler y colocar nuevos cerámicos en bachas de nenas y varones.
195,9,Z9-163,395,ESCUELA DR. LUIS AUGUSTO CAEIRO,,CUBIERTA,2026-05-14,pendiente,"Se realizará el retiro de la membrana existente en la losa donde se encuentra el tanque de agua sobre el comedor, efectuando previamente la limpieza y preparación de la superficie. Posteriormente, se ejecutarán nuevas pendientes para asegurar el correcto escurrimiento del agua hacia los techos laterales, evitando filtraciones existentes en el sector.
Finalizadas dichas tareas, se impermeabilizará la totalidad del área intervenida mediante membrana geotextil, cubriendo parapetos, encuentros y salientes.
Asimismo, en el techo del sector cocina se efectuará la limpieza e hidrolavado de la superficie para luego proceder a su correspondiente impermeabilización."
196,9,Z9-164,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,PLOMERIA,2026-05-18,pendiente,"Se solicita reparar pérdidas en fuelles de inodoros de nenas y varones, cambiar inodoro de baño de varones.Colocar rejillas de piletas de patio faltantes."
197,9,Z9-165,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,HERRERIA,2026-05-18,pendiente,Colocar seis cerraduras que se encuentran rotas pertenecientes a ingreso de aulas.
198,9,Z9-166,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,ELECTRICIDAD,2026-05-18,pendiente,"Colocar 20 tubos LED faltantes en el establecimiento, colocar nuevos reflectores que se encuentran sin funcionar con su respectivo canasto de protección y verificar la ausencia de corriente en pilar de luz en patio inerior."
199,9,Z9-167,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,ALBAÑILERIA,2026-05-18,pendiente,Sellar encuentro de escaleras exteriores con muro por ingreso de agua.
200,9,Z9-168,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,PLOMERIA,2026-05-18,pendiente,"Colocar nueva canilla en bacha previo al ingreso de baño de varones, instalar nueva canilla de servicio debajo de la misma y cambiar un fuelle de inodoro, todos los trabajos se desarrollan en el piso inferior del establecimiento."
201,9,Z9-169,380,ESCUELA JOSE MARIA BEDOYA,,PLOMERIA,2026-05-18,pendiente,"Cambiar dos fuelles y fijar un inodoro en baño de varones planta alta, cambiar flotante eléctrico de tanque, colocar tuercas de bronce en baño de nenas planta alta con el fin de fijarlas, colocar canilla de servicio en sala de plástica, cambiar canilla y desobstruir fuelle en baño de docentes, sellar bacha de cocina, cambiar pico de canilla y fijar mochila de inodoro pertenecientes a cocina planta baja."
202,9,Z9-170,380,ESCUELA JOSE MARIA BEDOYA,,OTROS,2026-05-19,pendiente,"Instalar una nueva bomba de 1,5 HP y verificar del correcto funcionamiento de la totalidad de los sensores del sistema."
