fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
113,9,Z9-081,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,ALBAÑILERIA,2026-04-01,finalizado,Colocar placas de yeso en los siguientes sectores: baño de mujeres planta alta cielorraso (1.50x0.30 + pintura látex) baño varones planta alta cielorraso (3.40x1.50 + pintura completa de cielorraso) aula 4to año (1.20x1.70 + pintura sintética del sector) aula sexto año (1.50x1.70 + 0.70x0.30 + 0.50x1.20 con pintura sintética en el sector intervenido) Baños mujeres planta baja cielorraso (3.60x1.50 + pintura látex cielorraso completo) baños varones planta baja masillado de cielorraso y pintura latex en cielorraso completo.
114,9,Z9-082,382,I.P.E.M. Nº 136 DR. ALFREDO L. PALACIOS,,GAS,2026-04-06,finalizado,Se solicita la presencia de un oficial gasista para reparar fuga de gas en cocina.
115,9,Z9-083,389,ESCUELA PROVINCIA LA RIOJA,,ALBAÑILERIA,2026-04-06,finalizado,Colocar diez losetas de hormigón que se encuentran rotas en el ingreso de la institución y revocar los arreglos en cañerías pertenecientes a planta baja y alta
116,9,Z9-084,403,ESCUELA MADRE MARIA DEL TRANSITO,,CUBIERTA,2026-04-07,trabajando,"Limpieza de canaleta, sellar babetas y caneleta, reparar bajada pluvial afectada y amplicar boquetas. Todos estos trabajos serán realizados en la canaleta ubicada en el frente del establecimiento. NOTA: Verificar el correcto escurrimiento del agua y la ausencia de filtraciones de agua una vez terminadas las tareas."
117,9,Z9-085,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,HERRERIA,2026-04-08,finalizado,"Reparar cerradura de puerta principal de establecimiento, colocar rejilla en patio posterior, reparar puerta de acceso a simon bolivar y colocar puerta de medidor de gas."
118,9,Z9-086,395,ESCUELA DR. LUIS AUGUSTO CAEIRO,,ELECTRICIDAD,2026-04-08,finalizado,Se solicita un oficial eléctrico para reparar un circuito que tiene invertido en neutro con la fase.
119,9,Z9-087,378,I.P.E.T. Nº 64 MALVINAS ARGENTINAS,,PLOMERIA,2026-04-08,pendiente,Se solicita un oficial y ayudante en plomería para colocar dos nuevas rejillas de desague pluvial en patio y colocar bebederos en el pasillo en sector de baños con su respectiva cañería de agua.
120,9,Z9-088,386,ESCUELA CORNELIO SAAVEDRA,,ELECTRICIDAD,2026-04-08,finalizado,Se solicita oficial electrico por falta de luz en baños y sala de docentes
121,9,Z9-089,380,ESCUELA JOSE MARIA BEDOYA,,ELECTRICIDAD,2026-04-08,finalizado,"Se solicita la intervención de un oficial electricista debido al estado del tendido eléctrico en patio interno, el cual se encuentra caído.
Se deberá verificar si el mismo se encuentra en funcionamiento. En caso afirmativo, se procederá a la ejecución de un nuevo tendido eléctrico en el tramo afectado, incluyendo la colocación de cañería eléctrica y todos sus accesorios correspondientes, garantizando condiciones seguras y reglamentarias de instalación.
En caso de que el tendido no se encuentre en uso, se deberá realizar el retiro completo del mismo, adoptando todas las medidas de seguridad necesarias durante la ejecución de las tareas."
122,9,Z9-090,376,J.DE INF. PEDRO RUIZ DE GARIBAY,,PLOMERIA,2026-04-09,finalizado,"Se solicita un oficial en plomería para realizar los siguientes trabajos: desobstrucción de bachas en las dos salas de cuatro y tres, dos pérdidas de inodoro en sala de cinco y desobstrucción de PPA en cocina."
123,9,Z9-091,393,J.DE INF. JOSE MARIA BEDOYA,,PLOMERIA,2026-04-09,finalizado,Desobstrucción de pileta de patio perteneciente a bachas.
124,9,Z9-092,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,HERRERIA,2026-04-10,finalizado,"Se solicita la colocación de babeta de zinguería en todo el perímetro del techo del primer piso, debido a que el mismo presenta filtraciones de agua.
Los trabajos deberán contemplar la correcta fijación y sellado de la babeta, garantizando la impermeabilidad en los encuentros entre cubierta y paramentos verticales, a fin de evitar futuros ingresos de agua."
125,9,Z9-093,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,ALBAÑILERIA,2026-04-10,finalizado,Ejecutar buña en ultimo piso por fisura de unión de losas en todo su recorrido lineal y colocar perfil metálico sugetado en un solo extremo
126,9,Z9-094,378,I.P.E.T. Nº 64 MALVINAS ARGENTINAS,,HERRERIA,2026-04-10,finalizado,Se solicita acudir con urgencia al establecimiento para reparar bisagras de ingreso
127,9,Z9-095,377,J.DE INF. CORNELIO SAAVEDRA,,PLOMERIA,2026-04-13,pendiente,Reparar pérdida de agua en techo
128,9,Z9-096,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,OTROS,2026-04-14,pendiente,Tomar niveles interiores y exteriores con nivel optico con la presencia de inspección
129,9,Z9-097,394,INSTITUTO DE ENSEÑANZA SUPERIOR SIMÓN BOLIVAR,,ALBAÑILERIA,2026-04-14,pendiente,Reparar cerámico suelto de terraza y corroborar sellado entre las juntas el cual esta provocando filtraciones en el piso inferior
130,9,Z9-098,378,I.P.E.T. Nº 64 MALVINAS ARGENTINAS,,PLOMERIA,2026-04-15,pendiente,"Reparar mochila la cual no tiene ingreso de agua fría en baño de mujeres, levantar depósito en dos baños de docentes ya que no se puede levantar tapa y colocar dos bebederos con la ampliación de las cañerías de agua y descarga desde baño de varones."
