ESTABLECIMIENTOS ANEXOS / ESCUELAS NOCTURNAS / CENMA
Total: 143

- ID 627 | CUE 140509801 | CENMA ALEJANDRO CARBO ANEXO VILLA LIBERTADOR | Anexo / CENMA | CARMELO IBARRA Y VICENTE FORESTIERI | VILLA LIBERTADOR
- ID 633 | CUE 140554200 | CENMA B° PARQUE FUTURA | CENMA | BARBADOS Y HAITI | VICCOR
- ID 632 | CUE 140542700 | CENMA B° SMATA | CENMA | CALLE PUBLICA S/N | SMATA
- ID 630 | CUE 140511200 | CENMA DEAN FUNES | CENMA | PERU 10 | NUEVA CORDOBA
- ID 628 | CUE 140011901 | CENMA N° 107 ANEXO B° COLINAS DE BELLA VISTA | Anexo / CENMA | LA PAMPA 1600 | BELLA VISTA
- ID 631 | CUE 140288212 | CENMA N° 111 SEDE Si.Re.LyF | CENMA | Ituzaingó 548 | NUEVA CORDOBA
- ID 626 | CUE 140227604 | CENMA Nº 94 EXTENCION AULICA Bº ROSEDAL | CENMA | ALMIRANTE BROWN ESQ OCTAVIO NAVARRO | ROSEDAL
- ID 615 | CUE 140512000 | ESCUELA CEFERINO NAMUNCURA (EX-ANEXO DR. BENITO SORIA) | Anexo | MARTINICA Y ARUBA Altura: | SANTA ISABEL 3º SECCION
- ID 634 | CUE 140136202 | ESCUELA NOCTURNA DALMACIO V SARSFIELD EXT AUL B° VICOR | Extension aulica / Escuela nocturna | BARBADOS 3200 | VICOR
- ID 624 | CUE 140046300 | ESCUELA NOCTURNA DR. CARLOS VAZ FERREIRA | Escuela nocturna | Almirante Brown Esq. O. Navarro Barrio | ROSEDAL
- ID 625 | CUE 140225500 | ESCUELA NOCTURNA LUIS MARIA DRAGO | Escuela nocturna | FORESTIERI ESQ. IBARRA | VILLA LIBERTADOR
- ID 618 | CUE 140533000 | J.DE INF. S/NOMBRE EX ANEXO PROVINCIA DE MISIONES - CEFERINO NAMUNCURA | Anexo | MARTINICA Altura: 2080 | SANTA ISABEL 3º SECCION
ZONA 15
- ID 677 | CUE 140511400 | CENMA BRIGADIER JUAN IGNACIO SAN MARTIN | CENMA | Esmeralda 4980 | VILLA ADELA
- ID 675 | CUE 140511402 | CENMA Brigadier Juan Ignacio San Martin ANEXO B° LOS GRANADOS | Anexo / CENMA | JOSE ISEAS 1550 | LOS GRANADOS
- ID 674 | CUE 140572300 | ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO ALEGRIA AHORA | Anexo / Escuela nocturna | JULIO A ROCA 576 | BELLA VISTA
- ID 671 | CUE 140135702 | ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO REPUBLCA DEL ECUADOR | Anexo / Escuela nocturna | HURTADO Y ACUÑA | RESIDENCIAL SAN ROQUE
- ID 676 | CUE 140135704 | ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO TERCILIO GAMBINO | Anexo / Escuela nocturna | MARIA CURIE Y ZULOAGA | LOS GRANADOS
- ID 672 | CUE 140161300 | ESCUELA NOCTURNA MANUELA PEDRAZA | Escuela nocturna | LA PAMPA Nº 1600 | COLINAS DE BELLA VISTA
ZONA 16
- ID 713 | CUE 140512100 | ESCUELA JUAN PABLO II (EX-ANEXO JOSE AGUIRRE CAMARA) | Anexo | MANUELA CACIGAS Altura: 650 | AMPLIACION LAS PALMAS
ZONA 17
- ID 751 | CUE 140227600 | CENMA N° 94 | CENMA | AV COLON 2772 | ALBERDI
- ID 755 | CUE 140227600 | CENMA N° 94 SEDE EDUCACION A DISTANCIA | CENMA | AV. COLON 2772 | ALTO ALBERDI
- ID 752 | CUE 140227605 | CENMA Nº 94 ANEXO HIPOLITO VIEYTES | Anexo / CENMA | VIEYTES 185 | ALTO ALBERDI
- ID 753 | CUE 140544800 | CENMA PERIFERICOS DE ARGUELLO | CENMA | CORONADO ESQ. DOMINGO ALBARIÑOS | QUINTAS DE ARGUELLO
- ID 754 | CUE 140544803 | CENMA PERIFERICOS DE ARGUELLO SEDE B° VILLA URQUIZA | CENMA | LA TABLADA 4699 | VILLA URQUIZA - ARGUELLO NORTE
