fila_excel,columna_c,inspector,zona,numero,establecimiento,cue,domicilio,barrio
501,,,11.0,40.0,ESCUELA NOCTURNA SAN LORENZO,140335200.0,Calle Púb s/nombre,CIUDAD DE MIS SUEÑOS
502,,,11.0,41.0,CENMA N° 151 ANEXO B° CERVECEROS,140395002.0,RAMON VILLAFAÑE 2900,CERVECERO
503,,,11.0,42.0,CENMA N° 111 ANEXO B° JARDIN,140288209.0,Pedro Luis de Cabrera 3070,Jardín
504,,,11.0,43.0,CENMA N° 111 ANEXO B° OÑA,140288213.0,Amboy esq Olaen 3230,OÑA
505,,,11.0,44.0,INSTITUTO SUPERIOR CARLOS A. LEGUIZAMON,140283800.0,AV. CONCEPCION ARENAL 1177,ROGELIO MARTINEZ
506,,ZONA 12 BÁRBARA LEDESMA,12.0,1.0,CENMA N° 70 OBISPO ANGELELLI,140061802.0,Calle publica altura:,CIUDAD OBISPO ANGELELLI
543,,,12.0,38.0,ESCUELA NOCTURNA PAULA ALBARRACIN VILLA OBISPO ANGELELLI,,Con San Antonio km 8 1/2 ,VILLA ANGELLELI
544,,,12.0,39.0,CENMA N° 70 ANEXO BARRIO CIUDAD OBISPO ANGELELLI,,CAMINO SAN ANTONIO KM 8 1/2,ANGELELLI
545,,,12.0,40.0,CENMA CORONEL OLMEDO,,ldelfonso Muñecas y Victorica,CORONEL OLMEDO
546,,,12.0,41.0,CENMA DEAN FUNES EXT AULICA BARRIO KENNEDY,,RIMINI 626,Kennedy
547,,,12.0,42.0,ESCUELA NOCTURNA LUIS MARIA DRAGO EXT. AUL. ARTURO ILLIA,,RIMINI 626,KENNEDY
548,,,12.0,43.0,ESCUELA NOCTURNA PAULO FREIRE ANEXO III,,Obispo Trejo 736,NUEVA CORDOBA
549,,,12.0,44.0,CENMA ALEJANDRO CARBO,,TOTORAL Y RIO GRANDE,RESIDENCIAL SANTA ROSA
586,,,13.0,37.0,ESCUELA NOCTURNA CIUDAD DE BUENOS AIRES EXT AUL VICENTE FORESTIERI,140398101.0,RIO NEGRO 5800,VILLA EL LIBERTADOR
587,,,13.0,38.0,CENMA Nº 125 ANEXO Bº IRUPE,140429302.0,NIZA ESQ. OSTIA,IRUPE
588,,,13.0,39.0,ESCUELA NOCTURNA CIUDAD DE BUENOS AIRES,140398100.0,DEFENSA Y CACHEUTA,VILLA LIBERTADOR
625,,,14.0,37.0,ESCUELA NOCTURNA DR. CARLOS VAZ FERREIRA,140046300.0,Almirante Brown Esq. O. Navarro Barrio,ROSEDAL
626,,,14.0,38.0,ESCUELA NOCTURNA LUIS MARIA DRAGO,140225500.0,FORESTIERI ESQ. IBARRA,VILLA LIBERTADOR
627,,,14.0,39.0,CENMA Nº 94 EXTENCION AULICA Bº ROSEDAL,140227604.0,ALMIRANTE BROWN ESQ OCTAVIO NAVARRO,ROSEDAL
628,,,14.0,40.0,CENMA ALEJANDRO CARBO ANEXO VILLA LIBERTADOR,140509801.0,CARMELO IBARRA Y VICENTE FORESTIERI,VILLA LIBERTADOR
629,,,14.0,41.0,CENMA N° 107 ANEXO B° COLINAS DE BELLA VISTA,140011901.0,LA PAMPA 1600,BELLA VISTA
630,,,14.0,42.0,CENMA AEJANDRO CARBO ANEXO B° CABILDO,140509802.0,USHUAIA Y COLORADO,CABILDO
631,,,14.0,43.0,CENMA DEAN FUNES,140511200.0,PERU 10,NUEVA CORDOBA
632,,,14.0,44.0,CENMA N° 111 SEDE Si.Re.LyF,140288212.0,Ituzaingó 548,NUEVA CORDOBA
633,,,14.0,45.0,CENMA B° SMATA,140542700.0,CALLE PUBLICA S/N,SMATA
634,,,14.0,46.0,CENMA B° PARQUE FUTURA,140554200.0,BARBADOS Y HAITI,VICCOR
635,,,14.0,47.0,ESCUELA NOCTURNA DALMACIO V SARSFIELD EXT AUL B° VICOR,140136202.0,BARBADOS 3200,VICOR
672,,,15.0,37.0,ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO REPUBLCA DEL ECUADOR,140135702.0,HURTADO Y ACUÑA,RESIDENCIAL SAN ROQUE
673,,,15.0,38.0,ESCUELA NOCTURNA MANUELA PEDRAZA,140161300.0,LA PAMPA Nº 1600,COLINAS DE BELLA VISTA
674,,,15.0,39.0,ESCUELA ALEGRIA AHORA,140572300.0,JULIO ROCA 571,BELLA VISTA
675,,,15.0,40.0,ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO ALEGRIA AHORA,140572300.0,JULIO A ROCA 576,BELLA VISTA
676,,,15.0,41.0,CENMA Brigadier Juan Ignacio San Martin ANEXO B° LOS GRANADOS,140511402.0,JOSE ISEAS 1550,LOS GRANADOS
677,,,15.0,42.0,ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO TERCILIO GAMBINO,140135704.0,MARIA CURIE Y ZULOAGA,LOS GRANADOS
678,,,15.0,43.0,CENMA BRIGADIER JUAN IGNACIO SAN MARTIN,140511400.0,Esmeralda 4980,VILLA ADELA
752,,,17.0,37.0,CENMA N° 94,140227600.0,AV COLON 2772,ALBERDI
753,,,17.0,38.0,CENMA Nº 94 ANEXO HIPOLITO VIEYTES,140227605.0,VIEYTES 185,ALTO ALBERDI
754,,,17.0,39.0,CENMA PERIFERICOS DE ARGUELLO,140544800.0,CORONADO ESQ. DOMINGO ALBARIÑOS,QUINTAS DE ARGUELLO
755,,,17.0,40.0,CENMA PERIFERICOS DE ARGUELLO SEDE B° VILLA URQUIZA,140544803.0,LA TABLADA 4699,VILLA URQUIZA - ARGUELLO NORTE
756,,,17.0,41.0,CENMA N° 94 SEDE EDUCACION A DISTANCIA,140227600.0,AV. COLON 2772,ALTO ALBERDI
758,,,,,leguizamon,,,
759,,,,,Escuela Alegria Ahora,,,
760,,,,,Isep,,,
762,,,,,140576600.0,311505.0,ESFP Sede San Jorge,VER 
