ESTABLECIMIENTOS SIN NUMERO EN COLUMNA C
Archivo fuente: C:\Users\Nazareno\Downloads\LISTADO ESTABLECIMIENTOS - 17 ZONAS  (1).xlsx
Hoja: ESTABLECIMIENTOS
Total encontrados: 130

Fila 275 | C='' | Zona 6.0 | N° 41.0 | CENMA MANUEL DORREGO | CUE 140510700.0 | CAPISTRANO TISSERA S/N | ALEM ESTE
Fila 276 | C='' | Zona 6.0 | N° 42.0 | CENMA N° 70 ANEXO MONSEÑOR ANGELELLI | CUE 140061801.0 | AV. FEDERICO RAUCH 2790 | ARTURO CAPDEVILA
Fila 277 | C='' | Zona 6.0 | N° 43.0 | CENMA ASIMRA ANEXO B° PATRICIOS | CUE 140235602.0 | Av. Alem 2788 | PATRICIOS
Fila 278 | C='' | Zona 6.0 | N° 44.0 | CENMA B° ACOSTA SEDE EVITA | CUE 140553301.0 | SUIPACHA 2309 | PUEYRREDON
Fila 279 | C='' | Zona 6.0 | N° 45.0 | CENMA N° 19 | CUE 140074100.0 | ANA MARIA JANER 1551 | PUEYRREDON
Fila 280 | C='' | Zona 6.0 | N° 46.0 | ESCUELA NOCTURNA JOSÉ HERNÁNDEZ EXT. AULICA EVITA | CUE 140011705.0 | Suipacha y Polonia | PUEYRREDON
Fila 317 | C='' | Zona 7.0 | N° 37.0 | ESCUELA NOCTURNA JOSE HERNANDEZ EXT AUL B° ARENALES | CUE 140011701.0 | CRESPIN S/N | ARENALES
Fila 318 | C='' | Zona 7.0 | N° 38.0 | ESCUELA NOCTURNA 25 DE MAYO | CUE 140073500.0 | 2400-09-24 00:00:00 | YAPEYU
Fila 319 | C='' | Zona 7.0 | N° 39.0 | CENMA N° 19 SEDE MERCADO DE ABASTO | CUE 140074102.0 | AV. DE LA SEMILLERIA S/N | PALMAR
Fila 320 | C='' | Zona 7.0 | N° 40.0 | ESCUELA NOCTURNA REPÚBLICA DEL PARAGUAY EXTENSIÓN ÁULICA CAMPO DE LA RIBERA | CUE 140221501.0 | Martín Cartechini S/N | Campo de la Rivera
Fila 321 | C='' | Zona 7.0 | N° 41.0 | CENPA VILLA CHACRA DE LA MERCED B | CUE 140491000.0 | San Martín S/N | Ciudad de mi Esperanza
Fila 322 | C='' | Zona 7.0 | N° 42.0 | CENMA N° 14 DR. CESAR CUESTAS CARNERO | CUE 140524300.0 | CRESPIN S/Nº | GENERAL ARENALES
Fila 323 | C='' | Zona 7.0 | N° 43.0 | CENMA CORONEL OLMEDO ANEXO B° YAPEYÚ | CUE 140278205.0 | AV. 24 SEPTIEMPBRE 2400 | YAPEYU
Fila 324 | C='' | Zona 7.0 | N° 44.0 | CENMA N° 19 ANEXO B° YOFRE H | CUE 140074101.0 | MARTIN ALLENDE 2005 | YOFRE H
Fila 325 | C='' | Zona 7.0 | N° 45.0 | CENMA N° 19 SEDE EDUCACION A DISTANCIA | CUE 140074101.0 | MARTIN ALLENDE 2005 | YOFRE H
Fila 326 | C='' | Zona 7.0 | N° 46.0 | ESCUELA NOCTURNA JOSE HERNANDEZ | CUE 140011700.0 | MARTIN ALLENDE 2005 | YOFRE H
Fila 365 | C='' | Zona 8.0 | N° 39.0 | ESCUELA NOCTURNA BERNARDO O HIGGINS | CUE 140075800.0 | Mario Bravo esq. Entre Ríos | ACOSTA
Fila 366 | C='' | Zona 8.0 | N° 40.0 | ESCUELA NOCTURNA FRAY JUSTO SANTA MARIA DE ORO | CUE 140129500.0 | Pedernera 952 | SAN VICENTE
Fila 367 | C='' | Zona 8.0 | N° 41.0 | CENMA CASA DE GOBIERNO SEDE SURRBAC | CUE 140278203.0 | Facundo Suviria 1029 | Juniors
Fila 368 | C='' | Zona 8.0 | N° 42.0 | ESCUELA NOCTURNA JUAN GODOY | CUE 140291900.0 | CARTECHINI ESQ BLAS PARERA | MALDONADO
Fila 369 | C='' | Zona 8.0 | N° 43.0 | CENMA PROFESORA MARÍA SALEME DE BURNICHÓN | CUE 140333400.0 | ITUIZAINGO 483 | NUEVA CORDOBA
Fila 370 | C='' | Zona 8.0 | N° 44.0 | CENMA B° MALDONADO SEDE B° MÜLLER | CUE 140528902.0 | OBISPO CASTELLANOS 256 | MULLER
Fila 371 | C='' | Zona 8.0 | N° 45.0 | CENMA B° MALDONADO ANEXO CENTRO VECINAL | CUE 140528904.0 | Blas Parera esq Cartechini | Maldonado
Fila 372 | C='' | Zona 8.0 | N° 46.0 | CENMA B° ACOSTA | CUE 140553300.0 | ENTRE RIOS 5000 | ACOSTA
Fila 373 | C='' | Zona 8.0 | N° 47.0 | CENMA N° 111 | CUE 140288200.0 | ALVAREZ DE ARENALES 990 | JUNIOR
Fila 374 | C='' | Zona 8.0 | N° 48.0 | CENMA B° MALDONADO | CUE 140528900.0 | PEDERNERA 952 | MALDONADO
Fila 375 | C='' | Zona 8.0 | N° 49.0 | ESCUELA NOCTURNA REPUBLICA DEL PARAGUAY | CUE 140221500.0 | López y Planes 2378 | SAN VICENTE
Fila 412 | C='' | Zona 9.0 | N° 37.0 | ESCUELA NOCTURNA ANTARTIDA ARGENTINA | CUE 140015500.0 | ANCASTI 4555 | EMPALME
Fila 413 | C='' | Zona 9.0 | N° 38.0 | CENPA VILLA BUSTOS | CUE 140518900.0 | BENJAMIN VIEL 2378 | VILLA BUSTOS
Fila 414 | C='' | Zona 9.0 | N° 39.0 | CENMA B° MALDONADO SEDE VILLA BUSTOS | CUE 140528903.0 | BENJAMIN VIEL 2387 | VILLA BUSTOS
Fila 415 | C='' | Zona 9.0 | N° 40.0 | CENNMA MANUEL DORREGO SEDE HOSPITAL ONCOLOGICO | CUE 140510702.0 | Ferroviario 1348 | Crisol norte
Fila 416 | C='' | Zona 9.0 | N° 41.0 | CENMA Nº 151 ANEXO SAN JAVIER | CUE 140395001.0 | ANCASTI 4555 | EMPALME
Fila 417 | C='' | Zona 9.0 | N° 43.0 | INSTITUTO DE ENSEÑANAZA SUP SIMON BOLIVAR | CUE 140397100.0 | AGUSTIN GARZON Altura: 1200 | SAN VICENTE
Fila 454 | C='' | Zona 10.0 | N° 37.0 | CENMA Nº 71 ANEXO PARQUE REPUBLICA | CUE 140046004.0 | LLANQUELEN 5100 | PARQUE REPUBLICA
